record_id,relation,carrier,subclass,confirmation_eligible,e1_fl3_claim_entitlement,entitlement_status,readiness_statement,primary_limiter,secondary_limiter,failure_localization_score,repair_specificity_level,repair_specificity_score,c4_evidence_gate_passed,entitlement_basis,entitlement_is_simulated
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,C1_contrast-limited,False,False,fl3_entitlement_capped,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,C1_contrast-limited,False,False,fl3_entitlement_capped,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,C1_contrast-limited,False,False,fl3_entitlement_capped,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
three_way__geometry_scores_only,three_way,geometry_scores_only,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
three_way__no_window,three_way,no_window,C1_contrast-limited,False,False,fl3_entitlement_capped,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
three_way__stability_plus_geometry,three_way,stability_plus_geometry,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
three_way__strict_numeric_all,three_way,strict_numeric_all,C1_contrast-limited,False,False,fl3_entitlement_capped,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
three_way__path_shares_only,three_way,path_shares_only,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
three_way__stability_core_3,three_way,stability_core_3,C2_localization-limited,True,True,fl3_entitled,diagnostic-only,failure_localization,repair_specificity,0.35,R3,0.55,False,frozen OBS-083 subclass and OBS-084 confirmation-eligibility contract,False
