record_id,relation,carrier,contract_family,contract_variant,score,family_mean_score,family_min_score,family_max_score,contract_sensitivity,weakest_contract_variant,strongest_contract_variant,contract_localization_flag,evidence_available,evidence_completeness,interpretation
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__no_window,C_vs_Cp3,no_window,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__no_window,C_vs_Cp3,no_window,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__no_window,C_vs_Cp3,no_window,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__no_window,C_vs_Cp3,no_window,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
