failure_predicate,partition,simulator_id,address_id,mean_abs_target_response,mean_max_abs_off_target_change,off_target_to_target_ratio,specificity_ratio_status,specificity_target_response_floor,control_response_levels,control_response_status,control_response_rho,adjusted_response_rho,identity_violations,range_violations,control_curve_json
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,2089c8ead568c49eba0d317f,0.0,0.015228650816045198,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.0,""mean_control"":-0.009816354364549583},{""control_response_lambda"":0.5,""mean_adjusted"":-0.01465763553611851,""mean_control"":0.07947018034912347},{""control_response_lambda"":1.0,""mean_adjusted"":-0.017270772705555316,""mean_control"":0.10767659193871783}]"
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,2f394559fbe5789c99da9eda,0.0,0.027289029515742524,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.019103318860861355,""mean_control"":-0.019103318860861355},{""control_response_lambda"":0.5,""mean_adjusted"":-0.06839981082601024,""mean_control"":0.06839981082601024},{""control_response_lambda"":1.0,""mean_adjusted"":-0.10861756831810655,""mean_control"":0.10861756831810655}]"
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,63063743372cd08e7e4c4ed8,0.32762345679012345,0.13312042819033998,0.40632142000631327,estimable,1e-06,3,estimable,1.0,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.355470788438198,""mean_control"":-0.04007669054716389},{""control_response_lambda"":0.5,""mean_adjusted"":0.3573833349597366,""mean_control"":-0.03843587038727204},{""control_response_lambda"":1.0,""mean_adjusted"":0.3299933402909046,""mean_control"":-0.016998233687495326}]"
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,9a1b8537bb0aac4dd2f70530,0.0,0.09665231407307269,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.14520242917471718,""mean_control"":-0.010363933253998335},{""control_response_lambda"":0.5,""mean_adjusted"":0.08973392297762775,""mean_control"":0.04767675485368761},{""control_response_lambda"":1.0,""mean_adjusted"":0.0699631623761311,""mean_control"":0.0616295299494179}]"
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,a24a4754e3d139d456235b65,0.0,0.03110553029884295,,target_response_too_small_for_ratio,1e-06,3,control_response_constant,,0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.01895009416195857,""mean_control"":0.0},{""control_response_lambda"":0.5,""mean_adjusted"":-0.021195652173913043,""mean_control"":0.0},{""control_response_lambda"":1.0,""mean_adjusted"":-0.017828798185941044,""mean_control"":0.0}]"
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,cba4ba2ba78612dd885992ab,0.0,0.08804875174534456,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.08109792366780041,""mean_control"":-0.007779431930666498},{""control_response_lambda"":0.5,""mean_adjusted"":-0.04707857273520823,""mean_control"":0.10545543955813666},{""control_response_lambda"":1.0,""mean_adjusted"":-0.09879339165413843,""mean_control"":0.1676562125150835}]"
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,2089c8ead568c49eba0d317f,0.014919704861111112,0.044200552981575415,2.9625621547505383,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.012455123108271087,""mean_control"":0.011098634332205105},{""control_response_lambda"":0.5,""mean_adjusted"":0.002988804028555867,""mean_control"":0.014178544681761593},{""control_response_lambda"":1.0,""mean_adjusted"":-0.005010847655034235,""mean_control"":0.02341827573043106}]"
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,2f394559fbe5789c99da9eda,0.0,0.02602899023730642,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.03554622014525507,""mean_control"":-0.03554622014525507},{""control_response_lambda"":0.5,""mean_adjusted"":0.022529655801714624,""mean_control"":-0.022529655801714624},{""control_response_lambda"":1.0,""mean_adjusted"":0.008765437993379166,""mean_control"":-0.008765437993379166}]"
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,63063743372cd08e7e4c4ed8,0.05649594907407407,0.12482351901390093,2.2094242341205717,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.06018518518518517,""mean_control"":-0.029738136574074075},{""control_response_lambda"":0.5,""mean_adjusted"":0.04496708622685184,""mean_control"":-0.018766276041666665},{""control_response_lambda"":1.0,""mean_adjusted"":0.03983109085648146,""mean_control"":-0.0072283709490740715}]"
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,9a1b8537bb0aac4dd2f70530,0.018287037037037036,0.0796133680530691,4.353541139104538,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.07508652371933622,""mean_control"":-0.03318818768037518},{""control_response_lambda"":0.5,""mean_adjusted"":0.07027839781746031,""mean_control"":-0.01596404897186147},{""control_response_lambda"":1.0,""mean_adjusted"":0.07016819985569984,""mean_control"":-0.008178323412698413}]"
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,a24a4754e3d139d456235b65,0.032196969696969696,0.05717571075350969,1.775810310461948,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.037503945707070704,""mean_control"":-0.0033933080808080823},{""control_response_lambda"":0.5,""mean_adjusted"":0.035031302609427606,""mean_control"":0.000256470959595959},{""control_response_lambda"":1.0,""mean_adjusted"":0.005681818181818174,""mean_control"":0.00492555765993266}]"
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,cba4ba2ba78612dd885992ab,0.05164930555555555,0.13577869558103753,2.628858106039584,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.0018165028958614545,""mean_control"":0.0625043929937022},{""control_response_lambda"":0.5,""mean_adjusted"":-0.003852216177462897,""mean_control"":0.07359494489428699},{""control_response_lambda"":1.0,""mean_adjusted"":-0.03292777215474585,""mean_control"":0.0935752467105263}]"
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,2089c8ead568c49eba0d317f,0.021701388888888888,0.042647873610519964,1.96521401597276,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.018880208333333332,""mean_control"":0.0},{""control_response_lambda"":0.5,""mean_adjusted"":0.01681219362745098,""mean_control"":0.0069508272058823525},{""control_response_lambda"":1.0,""mean_adjusted"":0.011555989583333334,""mean_control"":0.010904947916666666}]"
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,2f394559fbe5789c99da9eda,0.0,0.024136160660414636,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.017070819805194804,""mean_control"":-0.017070819805194804},{""control_response_lambda"":0.5,""mean_adjusted"":-0.02337010798637637,""mean_control"":0.02337010798637637},{""control_response_lambda"":1.0,""mean_adjusted"":-0.044631169229055266,""mean_control"":0.044631169229055266}]"
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,63063743372cd08e7e4c4ed8,0.20688657407407407,0.1227867113890197,0.593497726657975,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.2202763310185185,""mean_control"":-0.012239583333333325},{""control_response_lambda"":0.5,""mean_adjusted"":0.20873661747685182,""mean_control"":-0.008309823495370367},{""control_response_lambda"":1.0,""mean_adjusted"":0.19792390046296296,""mean_control"":0.003848379629629637}]"
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,9a1b8537bb0aac4dd2f70530,0.0,0.08072566687708402,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.05577961534992785,""mean_control"":0.019977960407647898},{""control_response_lambda"":0.5,""mean_adjusted"":0.032914806547619045,""mean_control"":0.0428427692099567},{""control_response_lambda"":1.0,""mean_adjusted"":0.023892101821789316,""mean_control"":0.05186547393578644}]"
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,a24a4754e3d139d456235b65,0.08696338383838383,0.05675649907310317,0.6526482361654841,estimable,1e-06,3,control_response_constant,,0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.11589856902356903,""mean_control"":0.0},{""control_response_lambda"":0.5,""mean_adjusted"":-0.11058501683501683,""mean_control"":0.0},{""control_response_lambda"":1.0,""mean_adjusted"":-0.11078887836700337,""mean_control"":0.0}]"
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,cba4ba2ba78612dd885992ab,0.0,0.13998868531383846,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.1668284166947818,""mean_control"":-0.031749131944444446},{""control_response_lambda"":0.5,""mean_adjusted"":0.03254118870895185,""mean_control"":0.10065218384502923},{""control_response_lambda"":1.0,""mean_adjusted"":-0.0008338341346154056,""mean_control"":0.1375011861082996}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,2089c8ead568c49eba0d317f,0.01417881014655208,0.06592670805275962,4.649664349218421,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.01818436798803291,""mean_control"":-0.0027424582398404384},{""control_response_lambda"":0.5,""mean_adjusted"":0.00972361387908155,""mean_control"":0.004468851618866977},{""control_response_lambda"":1.0,""mean_adjusted"":-0.02061798741329847,""mean_control"":0.03352000685982053}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,2f394559fbe5789c99da9eda,0.08333333333333333,0.010338409286992886,0.12406091144391464,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.09989727786337955,""mean_control"":-0.052926086259419594},{""control_response_lambda"":0.5,""mean_adjusted"":-0.03519892805607092,""mean_control"":0.07685847236409035},{""control_response_lambda"":1.0,""mean_adjusted"":-0.07766812865497078,""mean_control"":0.11737070707070708}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,63063743372cd08e7e4c4ed8,0.2968667328042328,0.1057924210069668,0.35636334191992824,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.3295945433404315,""mean_control"":0.03740740847237558},{""control_response_lambda"":0.5,""mean_adjusted"":0.11166135053573373,""mean_control"":0.25597015340744783},{""control_response_lambda"":1.0,""mean_adjusted"":-0.005457308590532302,""mean_control"":0.36952542934039645}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,9a1b8537bb0aac4dd2f70530,0.09999999999999999,0.03892260467244098,0.3892260467244098,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.13360654383210774,""mean_control"":-0.03360654383210774},{""control_response_lambda"":0.5,""mean_adjusted"":0.04902171512697829,""mean_control"":0.050978284873021716},{""control_response_lambda"":1.0,""mean_adjusted"":0.01789094540328093,""mean_control"":0.08210905459671908}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,a24a4754e3d139d456235b65,0.0,0.03516407329120788,,target_response_too_small_for_ratio,1e-06,3,estimable,0.8660254037844387,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.05464891975308642,""mean_control"":-0.0036844135802469122},{""control_response_lambda"":0.5,""mean_adjusted"":-0.057506887052341596,""mean_control"":0.0},{""control_response_lambda"":1.0,""mean_adjusted"":-0.05688202247191011,""mean_control"":0.0}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,cba4ba2ba78612dd885992ab,0.32896123050990306,0.07653993161472744,0.2326715871535606,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.26455133600966935,""mean_control"":-0.027584876543209874},{""control_response_lambda"":0.5,""mean_adjusted"":0.20178250276564885,""mean_control"":0.030040574282147316},{""control_response_lambda"":1.0,""mean_adjusted"":0.18782181565154005,""mean_control"":0.050894028871391085}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,2089c8ead568c49eba0d317f,0.04872891865079365,0.08072525543133674,1.6566190604359319,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.08435702481112639,""mean_control"":0.017131070426968865},{""control_response_lambda"":0.5,""mean_adjusted"":0.05591195913461539,""mean_control"":0.04585229223901099},{""control_response_lambda"":1.0,""mean_adjusted"":0.03177414219894689,""mean_control"":0.06466587611607143}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,2f394559fbe5789c99da9eda,0.04304108796296296,0.016856354177763096,0.3916340170645329,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.1008933738425926,""mean_control"":-0.06248191550925925},{""control_response_lambda"":0.5,""mean_adjusted"":0.08874059606481481,""mean_control"":-0.04967809606481482},{""control_response_lambda"":1.0,""mean_adjusted"":0.07881221064814815,""mean_control"":-0.03953269675925926}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,63063743372cd08e7e4c4ed8,0.07992862654320988,0.09652718341270372,1.2076672349739497,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.017784935428849916,""mean_control"":0.10289427997076024},{""control_response_lambda"":0.5,""mean_adjusted"":-0.0889236872563353,""mean_control"":0.17447101912768034},{""control_response_lambda"":1.0,""mean_adjusted"":-0.14848501461988306,""mean_control"":0.23234405458089671}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,9a1b8537bb0aac4dd2f70530,0.007291666666666667,0.025963287173303626,3.5606793837673543,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.01705544660931174,""mean_control"":-0.004687763579622131},{""control_response_lambda"":0.5,""mean_adjusted"":0.010342073633603238,""mean_control"":0.003858014929149799},{""control_response_lambda"":1.0,""mean_adjusted"":-0.004317434210526318,""mean_control"":0.012175269905533066}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,a24a4754e3d139d456235b65,0.03302228009259259,0.07321087305204098,2.2170144777029894,estimable,1e-06,3,estimable,1.0,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.012017144097222219,""mean_control"":-0.018780743634259255},{""control_response_lambda"":0.5,""mean_adjusted"":0.001482928240740744,""mean_control"":-0.012803819444444442},{""control_response_lambda"":1.0,""mean_adjusted"":-0.03102394386574074,""mean_control"":-0.0020164207175925896}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,cba4ba2ba78612dd885992ab,0.04622395833333333,0.12456350148415396,2.694782229290993,estimable,1e-06,3,estimable,1.0,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.34418402777777773,""mean_control"":-0.022026909722222224},{""control_response_lambda"":0.5,""mean_adjusted"":0.32877604166666663,""mean_control"":0.0031467013888888894},{""control_response_lambda"":1.0,""mean_adjusted"":0.32880316840277773,""mean_control"":0.028618706597222224}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,2089c8ead568c49eba0d317f,0.05954861111111111,0.0780369254179889,1.3104743160571897,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.07411304515796703,""mean_control"":0.03760570484203297},{""control_response_lambda"":0.5,""mean_adjusted"":0.06854574461996338,""mean_control"":0.0434334220467033},{""control_response_lambda"":1.0,""mean_adjusted"":0.043892907222985354,""mean_control"":0.06444042611034799}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,2f394559fbe5789c99da9eda,0.08333333333333333,0.016901798149620346,0.20282157779544416,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.09004267939814814,""mean_control"":-0.034487123842592594},{""control_response_lambda"":0.5,""mean_adjusted"":0.03871889467592592,""mean_control"":0.01683666087962963},{""control_response_lambda"":1.0,""mean_adjusted"":0.029007523148148143,""mean_control"":0.02654803240740741}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,63063743372cd08e7e4c4ed8,0.16963734567901234,0.09488890192467526,0.5593632790283336,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.18468757614522416,""mean_control"":0.02729646381578948},{""control_response_lambda"":0.5,""mean_adjusted"":0.027789656432748513,""mean_control"":0.17856359649122808},{""control_response_lambda"":1.0,""mean_adjusted"":-0.07619570845516573,""mean_control"":0.2824563687865497}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,9a1b8537bb0aac4dd2f70530,0.05043402777777778,0.02958879359528517,0.5866831363471345,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.06677631578947368,""mean_control"":-0.01391173245614035},{""control_response_lambda"":0.5,""mean_adjusted"":0.02255345394736842,""mean_control"":0.02614446271929825},{""control_response_lambda"":1.0,""mean_adjusted"":0.006544682017543859,""mean_control"":0.04319490131578948}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,a24a4754e3d139d456235b65,0.0,0.06778726815154242,,target_response_too_small_for_ratio,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.03363715277777778,""mean_control"":-0.049641927083333336},{""control_response_lambda"":0.5,""mean_adjusted"":-0.05756293402777777,""mean_control"":-0.026529947916666668},{""control_response_lambda"":1.0,""mean_adjusted"":-0.06255425347222222,""mean_control"":-0.024956597222222224}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,cba4ba2ba78612dd885992ab,0.2196903935185185,0.12097520008988225,0.5506622212849959,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.28754340277777773,""mean_control"":0.008355034722222219},{""control_response_lambda"":0.5,""mean_adjusted"":0.2713758680555555,""mean_control"":0.023546006944444444},{""control_response_lambda"":1.0,""mean_adjusted"":0.23600260416666663,""mean_control"":0.04090711805555556}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,3c58f494c94b8761a568ded4,0.007243652911647402,0.005839583610510339,0.8061655744328395,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.01246089929218953,""mean_control"":0.017970570264595635},{""control_response_lambda"":0.5,""mean_adjusted"":-0.02495295025191834,""mean_control"":0.030869946934834202},{""control_response_lambda"":1.0,""mean_adjusted"":-0.035179143716756206,""mean_control"":0.04074592411579273}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,61cef129ca8cc734e59e4f58,0.019809739563194914,0.019638492084193215,0.9913553896831706,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.019601777342109248,""mean_control"":0.005583714189491551},{""control_response_lambda"":0.5,""mean_adjusted"":0.0076670660732308625,""mean_control"":0.015247582471123199},{""control_response_lambda"":1.0,""mean_adjusted"":-0.00472472016638715,""mean_control"":0.024838406926518022}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,6474bf84525b5f8901e9c847,0.017467938111614834,0.015809896963862837,0.905080889504095,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.032281427677445865,""mean_control"":-0.0018801902124443374},{""control_response_lambda"":0.5,""mean_adjusted"":0.0249539596780887,""mean_control"":0.0012061448905249445},{""control_response_lambda"":1.0,""mean_adjusted"":0.020496955451545146,""mean_control"":0.006158204681686572}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,7e1bf2a0d61851cecd7b6046,0.09648416461572161,0.027857042230659226,0.28872139113821027,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.32365108844925533,""mean_control"":0.014924506087616966},{""control_response_lambda"":0.5,""mean_adjusted"":0.3163058056132822,""mean_control"":0.020075442676554194},{""control_response_lambda"":1.0,""mean_adjusted"":0.29484997428841947,""mean_control"":0.029440240960647016}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,0.033281892159717406,0.01732917341589409,0.5206787322287036,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.07368530707626686,""mean_control"":0.08166714391541072},{""control_response_lambda"":0.5,""mean_adjusted"":0.05923883116719996,""mean_control"":0.0864417737339718},{""control_response_lambda"":1.0,""mean_adjusted"":0.0406627829873579,""mean_control"":0.11218303118690588}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,c7bb703a3930eb4a7b9b0754,0.06889004222648708,0.026986984456866234,0.3917399900575208,estimable,1e-06,3,estimable,1.0,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.03164390922306209,""mean_control"":-0.006865803802694525},{""control_response_lambda"":0.5,""mean_adjusted"":0.057864789013154096,""mean_control"":0.0042123851732113774},{""control_response_lambda"":1.0,""mean_adjusted"":0.017738871361438747,""mean_control"":0.009080227228327756}]"
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,3c58f494c94b8761a568ded4,0.0064280647610838616,0.01226455377786067,1.907969853090387,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.10098854862661927,""mean_control"":0.10516549664090935},{""control_response_lambda"":0.5,""mean_adjusted"":-0.12073415755339163,""mean_control"":0.12514349300704275},{""control_response_lambda"":1.0,""mean_adjusted"":-0.14031513470299564,""mean_control"":0.14488352280923292}]"
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,61cef129ca8cc734e59e4f58,0.025725469486150655,0.03252440525954033,1.2642881124890606,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.051179479851440994,""mean_control"":0.009567312471869857},{""control_response_lambda"":0.5,""mean_adjusted"":0.03926400658955063,""mean_control"":0.02110459409221625},{""control_response_lambda"":1.0,""mean_adjusted"":0.02708986420513457,""mean_control"":0.03343091785183693}]"
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,6474bf84525b5f8901e9c847,0.02374415551805354,0.03390451400158883,1.4279098692648808,estimable,1e-06,3,estimable,1.0,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.027452546054551007,""mean_control"":-0.023691965409496817},{""control_response_lambda"":0.5,""mean_adjusted"":-0.01406922779465125,""mean_control"":-0.01914007026843957},{""control_response_lambda"":1.0,""mean_adjusted"":-0.010396405566243548,""mean_control"":-0.013028502903541244}]"
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,7e1bf2a0d61851cecd7b6046,0.11127527312295446,0.05507206152489005,0.49491733409665734,estimable,1e-06,3,estimable,1.0,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.5859130110393523,""mean_control"":-0.016053820670210984},{""control_response_lambda"":0.5,""mean_adjusted"":0.5126661879784912,""mean_control"":-0.004784617022862412},{""control_response_lambda"":1.0,""mean_adjusted"":0.5391971002406928,""mean_control"":-0.0017968523982353204}]"
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,0.024160476259370747,0.023818416032681436,0.9858421571240078,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.026207732232559584,""mean_control"":-0.038816356382044566},{""control_response_lambda"":0.5,""mean_adjusted"":0.003774690486551284,""mean_control"":-0.023924977169581075},{""control_response_lambda"":1.0,""mean_adjusted"":-0.00896559077493295,""mean_control"":-0.006793554158198194}]"
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,c7bb703a3930eb4a7b9b0754,0.07666899559874557,0.05646863911090589,0.7365250929650865,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.07665305022762664,""mean_control"":-0.014246210644594722},{""control_response_lambda"":0.5,""mean_adjusted"":0.04774917969119515,""mean_control"":-0.013868958239174346},{""control_response_lambda"":1.0,""mean_adjusted"":0.0010131414218362688,""mean_control"":-0.006650373406320488}]"
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,3c58f494c94b8761a568ded4,0.006349233568771356,0.012125248267124966,1.9097184149537172,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.11319914278075166,""mean_control"":0.11737238993878225},{""control_response_lambda"":0.5,""mean_adjusted"":-0.1227962580421968,""mean_control"":0.1270045863872177},{""control_response_lambda"":1.0,""mean_adjusted"":-0.14709651694552675,""mean_control"":0.15140070052092322}]"
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,61cef129ca8cc734e59e4f58,0.02159278545274574,0.024182734855834522,1.1199451274480867,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.038203807316917325,""mean_control"":0.007476559641617072},{""control_response_lambda"":0.5,""mean_adjusted"":0.02831893987200879,""mean_control"":0.019025762049469732},{""control_response_lambda"":1.0,""mean_adjusted"":0.01467994324103518,""mean_control"":0.029353399366638267}]"
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,6474bf84525b5f8901e9c847,0.02128855831057814,0.05559710584876438,2.611595629805451,estimable,1e-06,3,estimable,1.0,-0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":-0.08177247648978091,""mean_control"":-0.028225502875282606},{""control_response_lambda"":0.5,""mean_adjusted"":-0.07989317001314396,""mean_control"":-0.020650266146441634},{""control_response_lambda"":1.0,""mean_adjusted"":-0.08197227196638764,""mean_control"":-0.01428988556707686}]"
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,7e1bf2a0d61851cecd7b6046,0.1152222457871421,0.04283078121129805,0.3717231938910674,estimable,1e-06,3,estimable,1.0,0.5,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.5072311499262797,""mean_control"":-0.016870759113102197},{""control_response_lambda"":0.5,""mean_adjusted"":0.528004523077788,""mean_control"":-0.007593606516863655},{""control_response_lambda"":1.0,""mean_adjusted"":0.5279965202785126,""mean_control"":-0.004594354814405294}]"
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,0.025864681214145042,0.020597846267748396,0.796369616822639,estimable,1e-06,3,estimable,1.0,-1.0,0,0,"[{""control_response_lambda"":0.0,""mean_adjusted"":0.0035868513767687645,""mean_control"":0.011688840974633718},{""control_response_lambda"":0.5,""mean_adjusted"":-0.002385386247632132,""mean_control"":0.016849621695338334},{""control_response_lambda"":1.0,""mean_adjusted"":-0.018631437392465658,""mean_control"":0.032369146589441934}]"
